BaseCode,BaseName,Description,IsActive,Is1099,IsSubcontractor,FinancialType,SubledgerType,MetricType,CostType,PMType,LaborRevenueType,ExpenseRevenueType,_QBO_AccountType,_QBO_SubType
550,Reimbursable Expenses,,TRUE,,,Expense,,,,,,,Expense,OtherMiscellaneousServiceCost
552,Civil/Landscape Consultants,,TRUE,,,Expense,,,,,,,Expense,OtherMiscellaneousServiceCost
554,IDStudio4 MEP Consultants,,TRUE,,,Expense,,,,,,,Expense,OtherMiscellaneousServiceCost
564,Miscellaneous Expenses,,TRUE,,,Expense,,,,,,,Expense,OtherMiscellaneousServiceCost
553,Other Consultants,,TRUE,,,Expense,,,,,,,Expense,OtherMiscellaneousServiceCost
561,Plan Approval Fees,,TRUE,,,Expense,,,,,,,Expense,OtherMiscellaneousServiceCost
563,Postage & Delivery,,TRUE,,,Expense,,,,,,,Expense,OtherMiscellaneousServiceCost
560,Printing & Reproductions,,TRUE,,,Expense,,,,,,,Expense,OtherMiscellaneousServiceCost
551,Structural Consultants,,TRUE,,,Expense,,,,,,,Expense,OtherMiscellaneousServiceCost
562,Travel,,TRUE,,,Expense,,,,,,,Expense,OtherMiscellaneousServiceCost
450,Reimbursed Expenses - Income,,TRUE,,,Revenue,,,,,,,Income,SalesOfProductIncome
452,Civil/Landscape Consultants,,TRUE,,,Revenue,,,,,,,Income,ServiceFeeIncome
465,Credit Card Processing Fees,Credit Card Processing Fees Reimbursement,TRUE,,,Revenue,,,,,,,Income,ServiceFeeIncome
454,IDStudio4 MEP Consultants,,TRUE,,,Revenue,,,,,,,Income,ServiceFeeIncome
464,Miscellaneous,,TRUE,,,Revenue,,,,,,,Income,ServiceFeeIncome
453,Other Consultants,,TRUE,,,Revenue,,,,,,,Income,ServiceFeeIncome
461,Plan Approval Fees,,TRUE,,,Revenue,,,,,,,Income,ServiceFeeIncome
463,Postage & Delivery,,TRUE,,,Revenue,,,,,,,Income,ServiceFeeIncome
460,Printing & Reproductions,,TRUE,,,Revenue,,,,,,,Income,ServiceFeeIncome
451,Structural Consultants,,TRUE,,,Revenue,,,,,,,Income,SalesOfProductIncome
462,Travel,,TRUE,,,Revenue,,,,,,,Income,ServiceFeeIncome
456,Reimbursed Expenses-Accrued,,TRUE,,,Revenue,,,,,,,Income,DiscountsRefundsGiven
384,Retained Earnings,Undistributed earnings of the business,TRUE,,,Equity,,,,,,,Equity,RetainedEarnings
QBO-187,Sales of Product Income,,TRUE,,,Revenue,,,,,,,Income,SalesOfProductIncome
981,Sales Tax,,TRUE,,,Expense,,,,,,,Other Expense,OtherMiscellaneousExpense
236,Sales Tax Payable,,TRUE,,,Liability,,,,,,,Other Current Liability,OtherCurrentLiabilities
109,Savings Platinum,,TRUE,,,Asset,,,,,,,Bank,Checking
185,Security Deposits,,TRUE,,,Asset,,,,,,,Other Asset,OtherLongTermAssets
407,Senior Housing,,TRUE,,,Revenue,,,,,,,Income,SalesOfProductIncome
715.1,Shareholder Compensation,,TRUE,,,Expense,,,,,,,Expense,OtherMiscellaneousServiceCost
QBO-181,Shipping Income,,TRUE,,,Revenue,,,,,,,Income,SalesOfProductIncome
408,Single Family Residence,,TRUE,,,Revenue,,,,,,,Income,SalesOfProductIncome
977,Sponsorships,,TRUE,,,Expense,,,,,,,Other Expense,OtherMiscellaneousExpense
403,Sports,,TRUE,,,Revenue,,,,,,,Income,SalesOfProductIncome
137,Tax Refund Receivables - ERC,,TRUE,,,Asset,,,,,,,Other Current Asset,OtherCurrentAssets
301,Treasury Stock,,TRUE,,,Equity,,,,,,,Equity,OwnersEquity
QBO-179,Unapplied Cash Bill Payment Expense,,TRUE,,,Expense,,,,,,,Expense,UnappliedCashBillPaymentExpense
QBO-180,Unapplied Cash Payment Income,,TRUE,,,Revenue,,,,,,,Income,UnappliedCashPaymentIncome
QBO-183,Uncategorized Asset,,TRUE,,,Asset,,,,,,,Other Current Asset,OtherCurrentAssets
QBO-184,Uncategorized Expense,,TRUE,,,Expense,,,,,,,Expense,OtherMiscellaneousServiceCost
QBO-185,Uncategorized Income,,TRUE,,,Revenue,,,,,,,Income,SalesOfProductIncome
147,Vehicles,,TRUE,,,Asset,,,,,,,Fixed Asset,OtherFixedAssets
982,WI Fee Tax,,TRUE,,,Expense,,,,,,,Other Expense,OtherMiscellaneousExpense
